iter	Passed	Remaining
1462	138530	50848
1463	138638	50758
1464	138744	50667
1465	138798	50558
1466	138911	50470
1467	139021	50381
1468	139106	50282
1469	139209	50191
1470	139313	50099
1471	139424	50010
1472	139529	49919
1473	139629	49826
1474	139720	49731
1475	139825	49640
1476	139930	49548
1477	139953	49428
1478	140043	49332
1479	140120	49231
1480	140222	49139
1481	140309	49041
1482	140399	48945
1483	140478	48845
1484	140566	48748
1485	140663	48654
1486	140737	48552
1487	140812	48451
1488	140915	48359
1489	141003	48262
1490	141081	48162
1491	141186	48071
1492	141271	47973
1493	141377	47882
1494	141520	47804
1495	141627	47714
1496	141736	47624
1497	141861	47539
1498	141970	47449
1499	142056	47352
1500	142172	47264
1501	142334	47191
1502	142444	47102
1503	142506	46996
1504	142659	46921
1505	142804	46842
1506	142885	46743
1507	143012	46659
1508	143126	46570
1509	143243	46483
1510	143365	46396
1511	143471	46305
1512	143624	46229
1513	143701	46128
1514	143827	46043
1515	143963	45962
1516	144052	45865
1517	144218	45792
1518	144336	45704
1519	144448	45615
1520	144585	45533
1521	144696	45443
1522	144758	45337
1523	144906	45259
1524	145049	45179
1525	145167	45091
1526	145304	45009
1527	145441	44926
1528	145489	44817
1529	145648	44741
1530	145802	44664
1531	145964	44589
1532	146107	44508
1533	146170	44403
1534	146254	44305
1535	146344	44208
1536	146433	44111
1537	146495	44005
1538	146605	43914
1539	146743	43832
1540	146811	43729
1541	146896	43630
1542	146975	43530
1543	147057	43431
1544	147172	43341
1545	147285	43252
1546	147379	43156
1547	147434	43049
1548	147551	42960
1549	147604	42853
1550	147669	42748
1551	147734	42644
1552	147829	42549
1553	147926	42455
1554	148021	42359
1555	148080	42254
1556	148191	42163
1557	148335	42082
1558	148483	42002
1559	148600	41912
1560	148703	41819
1561	148802	41725
1562	148881	41625
1563	148980	41531
1564	149110	41446
1565	149174	41342
1566	149213	41231
1567	149350	41147
1568	149454	41054
1569	149588	40970
1570	149712	40882
1571	149843	40797
1572	149924	40697
1573	150027	40604
1574	150089	40500
1575	150230	40417
1576	150356	40330
1577	150456	40236
1578	150552	40140
1579	150655	40047
1580	150750	39952
1581	150862	39861
1582	150955	39765
1583	151039	39666
1584	151142	39573
1585	151236	39477
1586	151320	39379
1587	151415	39284
1588	151497	39185
1589	151596	39090
1590	151731	39005
1591	151828	38910
1592	151921	38814
1593	152024	38721
1594	152116	38625
1595	152198	38526
1596	152302	38433
1597	152398	38337
1598	152501	38244
1599	152541	38135
1600	152637	38040
1601	152670	37929
1602	152760	37832
1603	152831	37731
1604	152880	37624
1605	152979	37530
1606	153095	37440
1607	153197	37346
1608	153290	37250
1609	153382	37154
1610	153488	37062
1611	153568	36963
1612	153666	36868
1613	153737	36767
1614	153823	36670
1615	153932	36577
1616	154013	36479
1617	154067	36374
1618	154160	36278
1619	154241	36180
1620	154368	36092
1621	154520	36010
1622	154575	35905
1623	154665	35809
1624	154732	35707
1625	154828	35612
1626	154896	35510
1627	154981	35413
1628	155061	35314
1629	155126	35212
1630	155247	35123
1631	155339	35027
1632	155416	34928
1633	155516	34834
1634	155631	34743
1635	155745	34652
1636	155835	34555
1637	155894	34452
1638	155987	34357
1639	156052	34255
1640	156125	34155
1641	156237	34063
1642	156296	33960
1643	156367	33860
1644	156492	33771
1645	156586	33676
1646	156666	33578
1647	156762	33483
1648	156862	33389
1649	156946	33291
1650	157047	33197
1651	157145	33103
1652	157245	33009
1653	157280	32901
1654	157353	32801
1655	157439	32704
1656	157468	32596
1657	157572	32502
1658	157605	32395
1659	157695	32299
